rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0070.jpg,28.0,0.601,0.5448,0.4286,1.0,5,3,False,True
2,frame_0069.jpg,27.6,0.5955,0.5338,0.4286,1.0,4,3,False,False
3,frame_0126.jpg,50.4,0.593,0.5392,0.5714,0.76,7,4,False,True
4,frame_0377.jpg,150.8,0.5571,0.4662,1.0,0.12,9,7,False,True
5,frame_0198.jpg,79.2,0.5471,0.8324,0.1429,0.44,1,1,False,True
6,frame_0375.jpg,150.0,0.5388,0.569,0.7143,0.2,10,5,False,False
7,frame_0074.jpg,29.6,0.5296,0.402,0.4286,1.0,8,3,False,False
8,frame_0376.jpg,150.4,0.5257,0.5589,0.7143,0.16,9,5,False,False
9,frame_0288.jpg,115.2,0.5213,0.4974,0.4286,0.72,8,3,False,True
10,frame_0127.jpg,50.8,0.5199,0.377,0.5714,0.8,7,4,False,False
11,frame_0071.jpg,28.4,0.5196,0.382,0.4286,1.0,6,3,False,False
12,frame_0289.jpg,115.6,0.5173,0.4735,0.4286,0.76,7,3,False,False
13,frame_0008.jpg,3.2,0.5134,0.5411,0.1429,1.0,2,1,False,True
14,frame_0316.jpg,126.4,0.5132,0.5339,0.7143,0.16,7,5,False,True
15,frame_0072.jpg,28.8,0.5106,0.4498,0.2857,1.0,5,2,False,False
16,frame_0031.jpg,12.4,0.5102,0.3632,0.4286,1.0,8,3,False,True
17,frame_0075.jpg,30.0,0.5068,0.3725,0.4286,0.96,5,3,False,True
18,frame_0073.jpg,29.2,0.4995,0.4276,0.2857,1.0,7,2,False,False
19,frame_0002.jpg,0.8,0.4965,0.3359,0.4286,1.0,6,3,False,True
20,frame_0001.jpg,0.4,0.4952,0.419,0.2857,1.0,9,2,False,False
21,frame_0067.jpg,26.8,0.4898,0.3225,0.4286,1.0,5,3,False,False
22,frame_0284.jpg,113.6,0.4888,0.4964,0.4286,0.56,6,3,False,False
23,frame_0011.jpg,4.4,0.4858,0.4002,0.2857,1.0,2,2,False,False
24,frame_0068.jpg,27.2,0.4806,0.3041,0.4286,1.0,5,3,False,False
25,frame_0167.jpg,66.8,0.4795,0.4619,0.4286,0.6,6,3,False,True
26,frame_0293.jpg,117.2,0.4787,0.3962,0.4286,0.76,5,3,False,True
27,frame_0129.jpg,51.6,0.4742,0.3393,0.4286,0.88,4,3,False,False
28,frame_0287.jpg,114.8,0.474,0.5046,0.2857,0.68,7,2,False,False
29,frame_0023.jpg,9.2,0.4715,0.4572,0.1429,1.0,1,1,False,False
30,frame_0029.jpg,11.6,0.465,0.4442,0.1429,1.0,4,1,False,False
31,frame_0299.jpg,119.6,0.4646,0.4641,0.4286,0.52,5,3,False,False
32,frame_0294.jpg,117.6,0.4617,0.3783,0.4286,0.72,5,3,False,False
33,frame_0285.jpg,114.0,0.4597,0.4222,0.4286,0.6,6,3,False,False
34,frame_0000.jpg,0.0,0.4587,0.346,0.2857,1.0,7,2,False,False
35,frame_0007.jpg,2.8,0.4574,0.3434,0.2857,1.0,5,2,False,False
36,frame_0292.jpg,116.8,0.4574,0.3377,0.4286,0.8,5,3,False,False
37,frame_0291.jpg,116.4,0.457,0.3209,0.4286,0.84,7,3,False,False
38,frame_0004.jpg,1.6,0.4567,0.3419,0.2857,1.0,6,2,False,False
39,frame_0173.jpg,69.2,0.4553,0.5094,0.4286,0.36,7,3,False,False
40,frame_0003.jpg,1.2,0.4522,0.333,0.2857,1.0,5,2,False,False
41,frame_0077.jpg,30.8,0.4515,0.2939,0.4286,0.88,6,3,False,False
42,frame_0111.jpg,44.4,0.448,0.5748,0.4286,0.16,3,3,False,False
43,frame_0333.jpg,133.2,0.4426,0.5104,0.5714,0.08,8,4,False,False
44,frame_0298.jpg,119.2,0.4418,0.4024,0.4286,0.56,5,3,False,False
45,frame_0315.jpg,126.0,0.4399,0.5747,0.4286,0.12,7,3,False,False
46,frame_0209.jpg,83.6,0.4377,0.4159,0.2857,0.72,2,2,False,False
47,frame_0087.jpg,34.8,0.4365,0.5095,0.2857,0.48,2,2,False,False
48,frame_0122.jpg,48.8,0.4362,0.4609,0.2857,0.6,3,2,False,False
49,frame_0286.jpg,114.4,0.4339,0.3547,0.4286,0.64,6,3,False,False
50,frame_0112.jpg,44.8,0.4333,0.4438,0.5714,0.2,5,4,False,False
51,frame_0016.jpg,6.4,0.4254,0.2793,0.2857,1.0,4,2,False,False
52,frame_0330.jpg,132.0,0.4207,0.4826,0.5714,0.04,7,4,False,False
53,frame_0276.jpg,110.4,0.4196,0.4004,0.5714,0.24,8,4,False,False
54,frame_0017.jpg,6.8,0.4193,0.3528,0.1429,1.0,2,1,False,False
55,frame_0384.jpg,153.6,0.4193,0.5175,0.4286,0.16,4,3,False,False
56,frame_0367.jpg,146.8,0.4191,0.4634,0.5714,0.08,7,4,False,False
57,frame_0302.jpg,120.8,0.4185,0.4199,0.4286,0.4,7,3,False,False
58,frame_0279.jpg,111.6,0.4148,0.4284,0.4286,0.36,4,3,False,False
59,frame_0079.jpg,31.6,0.414,0.3366,0.2857,0.8,6,2,False,False
60,frame_0128.jpg,51.2,0.4139,0.3204,0.2857,0.84,5,2,False,False
61,frame_0018.jpg,7.2,0.4137,0.3417,0.1429,1.0,2,1,False,False
62,frame_0131.jpg,52.4,0.4127,0.3556,0.1429,0.96,3,1,False,False
63,frame_0274.jpg,109.6,0.4095,0.4978,0.4286,0.16,7,3,False,False
64,frame_0169.jpg,67.6,0.4093,0.3535,0.4286,0.52,5,3,False,False
65,frame_0297.jpg,118.8,0.4087,0.3203,0.4286,0.6,5,3,False,False
66,frame_0010.jpg,4.0,0.4084,0.3311,0.1429,1.0,2,1,False,False
67,frame_0301.jpg,120.4,0.408,0.3828,0.4286,0.44,8,3,False,False
68,frame_0327.jpg,130.8,0.4066,0.5401,0.4286,0.04,11,3,False,False
69,frame_0304.jpg,121.6,0.4055,0.4259,0.4286,0.32,5,3,False,False
70,frame_0396.jpg,158.4,0.4034,0.3999,0.5714,0.16,7,4,False,False
71,frame_0295.jpg,118.0,0.4018,0.4458,0.1429,0.68,4,1,False,False
72,frame_0277.jpg,110.8,0.4014,0.4336,0.4286,0.28,7,3,False,False
73,frame_0373.jpg,149.2,0.4,0.3931,0.5714,0.16,10,4,False,False
74,frame_0076.jpg,30.4,0.3976,0.3414,0.1429,0.92,5,1,False,False
75,frame_0303.jpg,121.2,0.3948,0.4742,0.2857,0.36,6,2,False,False
76,frame_0130.jpg,52.0,0.3927,0.3317,0.1429,0.92,3,1,False,False
77,frame_0125.jpg,50.0,0.3921,0.4104,0.1429,0.72,5,1,False,False
78,frame_0096.jpg,38.4,0.3904,0.39,0.5714,0.12,6,4,False,False
79,frame_0280.jpg,112.0,0.3854,0.3536,0.4286,0.4,4,3,False,False
80,frame_0224.jpg,89.6,0.382,0.4588,0.4286,0.12,6,3,False,False
81,frame_0317.jpg,126.8,0.3812,0.4252,0.4286,0.2,7,3,False,False
82,frame_0177.jpg,70.8,0.3789,0.4206,0.4286,0.2,6,3,False,False
83,frame_0032.jpg,12.8,0.3787,0.2716,0.1429,1.0,5,1,False,False
84,frame_0306.jpg,122.4,0.3764,0.3996,0.4286,0.24,5,3,False,False
85,frame_0170.jpg,68.0,0.3755,0.3018,0.4286,0.48,5,3,False,False
86,frame_0395.jpg,158.0,0.3753,0.3597,0.5714,0.12,6,4,False,False
87,frame_0387.jpg,154.8,0.3734,0.4954,0.2857,0.2,6,2,False,False
88,frame_0012.jpg,4.8,0.3714,0.2571,0.1429,1.0,2,1,False,False
89,frame_0028.jpg,11.2,0.3712,0.2566,0.1429,1.0,3,1,False,False
90,frame_0080.jpg,32.0,0.3711,0.2667,0.2857,0.76,4,2,False,False
91,frame_0014.jpg,5.6,0.3693,0.2529,0.1429,1.0,3,1,False,False
92,frame_0123.jpg,49.2,0.3677,0.308,0.2857,0.64,4,2,False,False
93,frame_0397.jpg,158.8,0.3676,0.3981,0.4286,0.2,8,3,False,False
94,frame_0078.jpg,31.2,0.3673,0.2272,0.2857,0.84,6,2,False,False
95,frame_0168.jpg,67.2,0.3656,0.3358,0.2857,0.56,5,2,False,False
96,frame_0033.jpg,13.2,0.3655,0.2452,0.1429,1.0,6,1,False,False
97,frame_0115.jpg,46.0,0.3649,0.3447,0.4286,0.32,5,3,False,False
98,frame_0133.jpg,53.2,0.3648,0.2438,0.1429,1.0,6,1,False,False
99,frame_0030.jpg,12.0,0.3631,0.2404,0.1429,1.0,5,1,False,False
100,frame_0202.jpg,80.8,0.3611,0.3107,0.2857,0.6,4,2,False,False
101,frame_0006.jpg,2.4,0.3609,0.236,0.1429,1.0,3,1,False,False
102,frame_0021.jpg,8.4,0.3531,0.2204,0.1429,1.0,5,1,False,False
103,frame_0281.jpg,112.4,0.353,0.3585,0.2857,0.44,4,2,False,False
